iter	RMSE
0	9.534090335
1	8.875688375
2	8.298379487
3	7.795071873
4	7.3573422
5	6.977764285
6	6.65593476
7	6.379142417
8	6.143128183
9	5.94427312
10	5.774125253
11	5.631345432
12	5.511885034
13	5.412661057
14	5.32986644
15	5.260579711
16	5.203874074
17	5.156972497
18	5.117303853
19	5.084394638
20	5.057394726
21	5.034366438
22	5.016222591
23	5.000354992
24	4.987694561
25	4.976277812
26	4.967046072
27	4.95957973
28	4.952939056
29	4.945865006
30	4.941132909
31	4.935293609
32	4.931796258
33	4.928629645
34	4.925102993
35	4.920579022
36	4.918648545
37	4.917079864
38	4.91395669
39	4.912009624
40	4.910217129
41	4.908206172
42	4.905078758
43	4.903433797
44	4.901461285
45	4.900337476
46	4.898595589
47	4.896740017
48	4.895207829
49	4.89268402
50	4.891619294
51	4.890585142
52	4.889707638
53	4.888840975
54	4.887707759
55	4.886727782
56	4.886119748
57	4.885163146
58	4.884479491
59	4.883751512
60	4.881862942
61	4.880781259
62	4.880191014
63	4.878677593
64	4.877530493
65	4.87659619
66	4.876176128
67	4.87538052
68	4.874645571
69	4.874035951
70	4.873205513
71	4.872940492
72	4.872493009
73	4.872044039
74	4.871241835
75	4.870088752
76	4.868843116
77	4.867337186
78	4.866523317
79	4.865248772
80	4.86456177
81	4.86411836
82	4.861689692
83	4.860805892
84	4.860454901
85	4.860111874
86	4.859606376
87	4.859040874
88	4.858324272
89	4.8573643
90	4.856981678
91	4.855861846
92	4.855662424
93	4.853606712
94	4.852778086
95	4.852126134
96	4.851268624
97	4.850915874
98	4.850354046
99	4.849300728
