iter	Passed	Remaining
0	1594	157821
1	2614	128094
2	3515	113656
3	4375	105011
4	5324	101174
5	6217	97404
6	6966	92561
7	7696	88513
8	8540	86352
9	9464	85176
10	10221	82701
11	10972	80467
12	11794	78933
13	12600	77400
14	13305	75395
15	14020	73606
16	14707	71807
17	15349	69924
18	16037	68372
19	16733	66932
20	17512	65880
21	18195	64511
22	18909	63304
23	19608	62093
24	20301	60904
25	20991	59745
26	21703	58678
27	22366	57513
28	23043	56416
29	23745	55407
30	24495	54523
31	25205	53562
32	25865	52514
33	26557	51551
34	27354	50800
35	28207	50146
36	28952	49296
37	29671	48411
38	30434	47602
39	31120	46680
40	31813	45780
41	32471	44841
42	33073	43841
43	33746	42950
44	34402	42047
45	34983	41067
46	35637	40186
47	36248	39268
48	36884	38390
49	37494	37494
50	38112	36617
51	38712	35734
52	39301	34852
53	39888	33979
54	40591	33210
55	41251	32412
56	41909	31615
57	42603	30850
58	43272	30070
59	43941	29294
60	44660	28553
61	45295	27761
62	45952	26987
63	46562	26191
64	47155	25391
65	47762	24604
66	48330	23804
67	48949	23035
68	49547	22260
69	50134	21486
70	50754	20730
71	51346	19968
72	51929	19206
73	52524	18454
74	53124	17708
75	53715	16962
76	54312	16223
77	54915	15489
78	55533	14761
79	56149	14037
80	56756	13313
81	57439	12608
82	58046	11889
83	58629	11167
84	59216	10450
85	59823	9738
86	60420	9028
87	61027	8321
88	61629	7617
89	62223	6913
90	62822	6213
91	63486	5520
92	64073	4822
93	64690	4129
94	65268	3435
95	65878	2744
96	66532	2057
97	67168	1370
98	67767	684
99	68437	0
